                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.79311,                0.95963,                 1.2393,                0.86686,                 1.0902,                 1.2689,                0.75351,                0.69949,                0.75881,                 0.6045,                0.74993,                0.82089,                 1.2201,                 0.8109,                0.91112,                 1.2517,              0.0007393,              0.0007393,              0.0007393
                     82,                0.79446,                 0.9405,                 1.2445,                 0.8705,                 1.0559,                 1.2763,                0.75183,                0.69193,                0.76476,                0.60798,                0.76327,                0.81438,                  1.221,                0.81949,                0.90608,                 1.2491,               0.000736,               0.000736,               0.000736
                     83,                0.79254,                0.96612,                 1.2474,                0.86779,                 1.0965,                 1.2783,                0.73801,                0.71445,                0.77683,                0.61974,                0.74993,                0.80687,                  1.208,                0.81031,                0.87382,                 1.2436,              0.0007327,              0.0007327,              0.0007327
                     84,                0.77813,                0.93053,                 1.2348,                0.84726,                  1.045,                 1.2602,                0.75093,                0.70261,                0.77459,                 0.6171,                0.75894,                0.79272,                  1.228,                0.81757,                0.88203,                  1.257,              0.0007294,              0.0007294,              0.0007294
                     85,                0.78369,                0.92237,                 1.2337,                0.85738,                 1.0444,                 1.2626,                0.78431,                0.67271,                0.77425,                0.61876,                0.74828,                0.79969,                 1.2155,                0.81481,                0.88379,                   1.25,              0.0007261,              0.0007261,              0.0007261
                     86,                 0.7856,                0.93836,                 1.2381,                0.85814,                 1.0575,                 1.2642,                0.79912,                0.67485,                0.77653,                0.62309,                 0.7574,                0.79818,                 1.2219,                0.81076,                0.89413,                 1.2481,              0.0007228,              0.0007228,              0.0007228
                     87,                0.78056,                0.93314,                  1.229,                0.84756,                  1.051,                 1.2546,                0.77126,                0.69987,                0.77496,                0.62407,                0.74719,                0.78029,                 1.2037,                  0.808,                0.87734,                 1.2383,              0.0007195,              0.0007195,              0.0007195
                     88,                0.77959,                0.92613,                 1.2314,                0.85385,                 1.0522,                 1.2637,                0.74851,                0.71951,                0.77456,                0.62634,                0.73976,                0.78661,                 1.1998,                0.80049,                0.88794,                 1.2344,              0.0007162,              0.0007162,              0.0007162
                     89,                0.77455,                0.93366,                 1.2266,                0.84634,                 1.0542,                 1.2533,                0.75799,                0.69373,                0.77121,                0.61892,                0.74447,                0.79822,                 1.2082,                0.79954,                0.89318,                 1.2329,              0.0007129,              0.0007129,              0.0007129
                     90,                0.76946,                0.91943,                  1.222,                0.83778,                 1.0462,                 1.2509,                0.78789,                0.68864,                0.77978,                0.62245,                0.75035,                0.78723,                 1.2106,                 0.8087,                0.87486,                 1.2515,              0.0007096,              0.0007096,              0.0007096
